f-end f-init score video-frames video-name
277 143 1.0 500 video_test_0000560
295 252 0.98318967647625322 500 video_test_0000560
459 416 0.97881455255150629 500 video_test_0000560
293 198 0.97653041610350133 500 video_test_0000560
331 180 0.975334502017557 500 video_test_0000560
223 180 0.97273106279087673 500 video_test_0000560
307 264 0.97100845568512084 500 video_test_0000560
207 164 0.96358463142063833 500 video_test_0000560
187 144 0.9601728990207421 500 video_test_0000560
279 236 0.95455768645847461 500 video_test_0000560
347 252 0.94990110365606917 500 video_test_0000560
471 428 0.94231310932748014 500 video_test_0000560
230 135 0.93653265268660146 500 video_test_0000560
379 204 0.93460198746930212 500 video_test_0000560
239 196 0.93298108452704143 500 video_test_0000560
468 208 0.92427881459126204 500 video_test_0000560
323 280 0.90693518562445019 500 video_test_0000560
320 225 0.90243918614063656 500 video_test_0000560
374 279 0.90210889586942544 500 video_test_0000560
255 212 0.89986326253309479 500 video_test_0000560
363 320 0.87236540359579251 500 video_test_0000560
339 296 0.86822011913007491 500 video_test_0000560
421 270 0.86538151999072543 500 video_test_0000560
481 306 0.86479632056147016 500 video_test_0000560
267 224 0.86169914734118347 500 video_test_0000560
364 104 0.85894889695146392 500 video_test_0000560
379 336 0.82630383626652337 500 video_test_0000560
446 351 0.82398819345400187 500 video_test_0000560
482 387 0.82256314038611633 500 video_test_0000560
351 308 0.82200403326200244 500 video_test_0000560
443 400 0.81921317908430669 500 video_test_0000560
175 132 0.80189924844097882 500 video_test_0000560
401 306 0.79969161097883001 500 video_test_0000560
215 99 0.75261287664682575 500 video_test_0000560
286 66 0.7461303476509431 500 video_test_0000560
391 348 0.7315784626551165 500 video_test_0000560
466 0 0.72591153414704701 500 video_test_0000560
427 384 0.68169294472138364 500 video_test_0000560
403 360 0.6497667106722067 500 video_test_0000560
163 120 0.56262590114455735 500 video_test_0000560
182 66 0.53844220175881774 500 video_test_0000560
415 372 0.52533063125098078 500 video_test_0000560
220 0 0.48723503692308545 500 video_test_0000560
151 108 0.39089131675189237 500 video_test_0000560
160 26 0.32214787529811983 500 video_test_0000560
139 96 0.21919753118814311 500 video_test_0000560
113 18 0.15295401324259417 500 video_test_0000560
79 36 0.13554562771610312 500 video_test_0000560
63 20 0.12285131698963025 500 video_test_0000560
95 52 0.11552950030192821 500 video_test_0000560
107 64 0.11545989783300969 500 video_test_0000560
123 80 0.10663192402210941 500 video_test_0000560
47 4 0.071960587533331344 500 video_test_0000560
