f-end f-init score video-frames video-name
356 261 1.0 500 pack
347 304 0.93948016802663115 500 pack
319 276 0.91284859819896391 500 pack
307 264 0.90205527594747048 500 pack
331 288 0.9013317206011594 500 pack
391 275 0.89520467801907011 500 pack
363 320 0.88169461149047434 500 pack
329 234 0.83713328180546331 500 pack
376 225 0.8325731875264335 500 pack
462 242 0.81438448385378881 500 pack
291 248 0.78072437388123683 500 pack
424 308 0.77684605086638503 500 pack
481 330 0.74324164078295052 500 pack
375 332 0.69020587670897848 500 pack
331 180 0.68642402898791999 500 pack
459 105 0.67625212704623827 500 pack
471 428 0.65801511550254799 500 pack
437 342 0.64441352558003051 500 pack
387 344 0.61559301487020324 500 pack
473 378 0.61442429771931328 500 pack
354 0 0.60867599264506644 500 pack
279 236 0.60412353106261085 500 pack
302 207 0.56233526832412106 500 pack
399 356 0.52309224987252712 500 pack
308 88 0.51857457615217206 500 pack
459 416 0.51610441927243378 500 pack
290 156 0.48834473873205997 500 pack
116 0 0.42646587102615074 500 pack
443 400 0.41483501242797383 500 pack
166 15 0.40061184046181364 500 pack
419 376 0.39995679359526393 500 pack
431 388 0.39853237506956563 500 pack
140 45 0.39105099603023619 500 pack
95 52 0.383539673293817 500 pack
71 28 0.36089930208597276 500 pack
242 22 0.35904421558325939 500 pack
263 220 0.33337056656399167 500 pack
107 64 0.33237971961282153 500 pack
83 40 0.32496362265080081 500 pack
199 65 0.313889990307191 500 pack
55 12 0.29177273029546891 500 pack
119 76 0.283379354570374 500 pack
251 117 0.2830804355327825 500 pack
247 204 0.23414495943056735 500 pack
131 88 0.22665427459223897 500 pack
43 0 0.22603270446040236 500 pack
235 192 0.18187296429449162 500 pack
143 100 0.16201826792901386 500 pack
155 112 0.13836924194910594 500 pack
215 172 0.11102350679287043 500 pack
167 124 0.07300959812336516 500 pack
203 160 0.040174643520560105 500 pack
179 136 0.031460603195302084 500 pack
191 148 0.01824074872658954 500 pack
